,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1012,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2002,0,24,1926273.9999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984,1926273.9999999984
1013,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2003,0,24,2034604.0000000007,38635.08804241631,0.0,-150302.0912306892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007,2034604.0000000007
1014,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2004,0,24,2090097.0000000016,16862.929516325647,0.0,6630.250720430135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016,2090097.0000000016
1015,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2005,0,24,2195542.999999999,3013.2637198214525,0.0,147409.10577928415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999,2195542.999999999
1016,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2006,0,24,2275752.000000001,-6838.706988365514,0.0,1149.1389793873186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001,2275752.000000001
1017,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2007,0,24,2189532.0000000005,-9111.642140625474,0.0,-137773.5121981475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005,2189532.0000000005
1018,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2008,0,24,2274399.9999999986,-44897.185823368,0.0,69888.39760555295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986,2274399.9999999986
1019,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2009,0,24,2370216.000000001,-3785.090489495744,0.0,51318.5283454351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001,2370216.000000001
1020,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2010,0,24,2432423.000000001,-9240.942135747951,0.0,-35285.201264868425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001,2432423.000000001
1021,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2011,0,24,2591915.0,-43087.728451988805,0.0,43461.19717727873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0,2591915.0
