,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
3017,"San Angelo, TX Metro Area-Bus",2002,0,32,0.19217199999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192171.99999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987,0.19217199999999987
3018,"San Angelo, TX Metro Area-Bus",2003,0,32,0.14073599999999997,-24630.262898978868,0.0,-36561.00041199284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997,0.14073599999999997
3019,"San Angelo, TX Metro Area-Bus",2004,0,32,0.1410609999999999,2249.5121345849134,0.0,-6552.417862436124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999,0.1410609999999999
3020,"San Angelo, TX Metro Area-Bus",2005,0,32,0.158265,11531.583912014938,0.0,9432.583628854984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265,0.158265
3021,"San Angelo, TX Metro Area-Bus",2006,0,32,0.10642999999999993,-35686.56345954882,0.0,-10585.13600390968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993,0.10642999999999993
3022,"San Angelo, TX Metro Area-Bus",2007,0,32,0.1833400000000001,56925.47100271792,0.0,20468.911679104476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001,0.1833400000000001
3023,"San Angelo, TX Metro Area-Bus",2008,0,32,0.20575200000000013,-5119.023469537747,0.0,7017.574629499495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013,0.20575200000000013
3024,"San Angelo, TX Metro Area-Bus",2009,0,32,0.21143,-12027.22162701975,0.0,-11714.863397891875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143,0.21143
3025,"San Angelo, TX Metro Area-Bus",2010,0,32,0.21797199999999986,19728.402967657432,0.0,8361.47956573053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986,0.21797199999999986
3026,"San Angelo, TX Metro Area-Bus",2011,0,32,0.238678,-16992.294177237032,0.0,9185.736888375746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678,0.238678
