,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
762,"Chico, CA Metro Area-Bus",2002,0,31,0.8294959999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997,0.8294959999999997
763,"Chico, CA Metro Area-Bus",2003,0,31,0.8336399999999996,28445.41242592487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996,0.8336399999999996
764,"Chico, CA Metro Area-Bus",2004,0,31,0.8520819999999996,62097.85532703224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996,0.8520819999999996
765,"Chico, CA Metro Area-Bus",2005,0,31,0.8221949999999998,-460.0513619651579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998,0.8221949999999998
766,"Chico, CA Metro Area-Bus",2006,0,31,1.0152739999999993,248288.192974778,0.0,-259149.92091886207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993,1.0152739999999993
767,"Chico, CA Metro Area-Bus",2007,0,31,1.1193939999999996,2889.775414159228,0.0,32432.62369308937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996,1.1193939999999996
768,"Chico, CA Metro Area-Bus",2008,0,31,1.2590609999999993,-1976.8089590296136,0.0,9571.50266635463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993,1.2590609999999993
769,"Chico, CA Metro Area-Bus",2009,0,31,1.2499500000000008,2476.905140440576,0.0,-36363.909112002286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008,1.2499500000000008
770,"Chico, CA Metro Area-Bus",2010,0,31,1.2240659999999992,6948.838984669442,0.0,-61031.59291422104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992,1.2240659999999992
771,"Chico, CA Metro Area-Bus",2011,0,31,1.218314,7156.462996779814,0.0,-14843.108192006188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314,1.218314
