,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
2026,"Madison, WI Metro Area-Bus",2002,0,21,10.791022999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992,10.791022999999992
2027,"Madison, WI Metro Area-Bus",2003,0,21,10.934125000000009,-44519.00804151436,0.0,214887.0271964767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009,10.934125000000009
2028,"Madison, WI Metro Area-Bus",2004,0,21,10.96234499999998,180579.37499346983,0.0,-83957.39865512463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998,10.96234499999998
2029,"Madison, WI Metro Area-Bus",2005,0,21,11.477971000000016,-15517.829726817514,0.0,-217512.2514678118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016,11.477971000000016
2030,"Madison, WI Metro Area-Bus",2006,0,21,12.029595000000016,27790.343043783192,0.0,13589.845466593924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016,12.029595000000016
2031,"Madison, WI Metro Area-Bus",2007,0,21,12.670501000000007,12154.751083050594,0.0,-40973.76347433063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007,12.670501000000007
2032,"Madison, WI Metro Area-Bus",2008,0,21,13.433149000000004,-1651.702361293468,0.0,170384.10395614317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004,13.433149000000004
2033,"Madison, WI Metro Area-Bus",2009,0,21,13.578254000000017,-10064.106511568312,0.0,-294538.3995552556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017,13.578254000000017
2034,"Madison, WI Metro Area-Bus",2010,0,21,13.587019999999976,183366.33622363524,0.0,-198199.42594783756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976,13.587019999999976
2035,"Madison, WI Metro Area-Bus",2011,0,21,14.79682299999998,-30886.582752245235,0.0,92641.44527979236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998,14.79682299999998
