,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
264,"Bakersfield-Delano, CA Metro Area-Bus",2004,0,34,6942826.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002,6942826.000000002
265,"Bakersfield-Delano, CA Metro Area-Bus",2005,0,34,6757341.999999999,-14885.83616494642,0.0,-13057.398534954076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999,6757341.999999999
266,"Bakersfield-Delano, CA Metro Area-Bus",2006,0,34,6229105.000000006,20202.88864733262,0.0,-177331.59038800438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006,6229105.000000006
267,"Bakersfield-Delano, CA Metro Area-Bus",2007,0,34,6595921.999999998,-22159.85741997852,0.0,45827.7284622183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998,6595921.999999998
268,"Bakersfield-Delano, CA Metro Area-Bus",2008,0,34,7442298.999999995,54538.06268356918,0.0,133319.85286139208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995,7442298.999999995
269,"Bakersfield-Delano, CA Metro Area-Bus",2009,0,34,7417868.000000004,160259.27081258348,0.0,-124028.25263706094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004,7417868.000000004
270,"Bakersfield-Delano, CA Metro Area-Bus",2010,0,34,6977238.000000002,67229.41263232604,0.0,-137024.39585113782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002,6977238.000000002
271,"Bakersfield-Delano, CA Metro Area-Bus",2011,0,34,7016304.000000006,-13875.1499143795,0.0,-48396.05908113912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006,7016304.000000006
272,"Bakersfield-Delano, CA Metro Area-Bus",2012,0,34,6833732.999999994,103102.6036695909,0.0,-54853.97894453883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994,6833732.999999994
273,"Bakersfield-Delano, CA Metro Area-Bus",2013,0,34,5956334.000000005,74441.31687269801,0.0,-55424.147688718986,0.0,18354.327098976883,-10393.973541805644,-39633.80015621254,-12467.43973101246,13835.648199167035,-5224.631399532698,0.0,0.0,0.0,0.0,0.0,0.0,-860104.4403478048,74441.31687269801,-55424.147688718986,0.0,0.0,18354.327098976883,-10393.973541805644,-39633.80015621254,-12467.43973101246,13835.648199167035,-5224.631399532698,0.0,0.0,-860104.4403478048,74441.31687269801,-55424.147688718986,0.0,0.0,5937979.672901028,5966727.97354181,5995967.800156217,5968801.439731017,5942498.351800838,5961558.631399537,5956334.000000005,5956334.000000005,6816438.440347809,5881892.683127306,6011758.147688724,5956334.000000005,5956334.000000005
