,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
2404,"Olympia, WA Metro Area-Bus",2002,0,23,2.4190959999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419095.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997,2.4190959999999997
2405,"Olympia, WA Metro Area-Bus",2003,0,23,2.587110999999998,131771.86024348845,0.0,30513.52987800452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67016.69359439675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998,2.587110999999998
2406,"Olympia, WA Metro Area-Bus",2004,0,23,2.7605799999999987,89641.35946526837,0.0,63217.08792585664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59149.4457343214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987,2.7605799999999987
2407,"Olympia, WA Metro Area-Bus",2005,0,23,2.8398160000000017,107472.65197845118,0.0,23611.492971430816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119297.15856643808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017,2.8398160000000017
2408,"Olympia, WA Metro Area-Bus",2006,0,23,3.240316000000002,114093.43814350618,0.0,62368.75216126924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146355.30801603815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002,3.240316000000002
2409,"Olympia, WA Metro Area-Bus",2007,0,23,3.6358419999999967,19021.908087984248,0.0,36121.97544990507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403660.3990972798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967,3.6358419999999967
2410,"Olympia, WA Metro Area-Bus",2008,0,23,4.307997999999998,126083.09237596791,0.0,54899.11820560307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363180.1004204189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998,4.307997999999998
2411,"Olympia, WA Metro Area-Bus",2009,0,23,4.298846999999999,136513.798076344,0.0,-195170.44497880823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149798.24658159606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999,4.298846999999999
2412,"Olympia, WA Metro Area-Bus",2010,0,23,4.313015000000003,-40677.81251209452,0.0,-24402.02432935213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35065.8836620581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003,4.313015000000003
2413,"Olympia, WA Metro Area-Bus",2011,0,23,4.505329000000001,130873.12900831572,0.0,81030.03366441363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20375.95382375605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001,4.505329000000001
