,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
3724,"Williamsport, PA Metro Area-Bus",2002,0,33,1.1737879999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992,1.1737879999999992
3725,"Williamsport, PA Metro Area-Bus",2003,0,33,1.2440139999999997,12779.07540318745,0.0,-11868.848025730322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997,1.2440139999999997
3726,"Williamsport, PA Metro Area-Bus",2004,0,33,1.2606650000000004,-36028.4771382082,0.0,-19438.53094151732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004,1.2606650000000004
3727,"Williamsport, PA Metro Area-Bus",2005,0,33,1.2418539999999993,-10084.865944198253,0.0,9637.656096737956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993,1.2418539999999993
3728,"Williamsport, PA Metro Area-Bus",2006,0,33,1.253592999999999,92164.55228694482,0.0,-13466.48047641669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999,1.253592999999999
3729,"Williamsport, PA Metro Area-Bus",2007,0,33,1.2468240000000004,-11435.86544220787,0.0,4239.088927702929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004,1.2468240000000004
3730,"Williamsport, PA Metro Area-Bus",2008,0,33,1.3306150000000005,-9633.992375380129,0.0,24736.470060501226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005,1.3306150000000005
3731,"Williamsport, PA Metro Area-Bus",2009,0,33,1.267074999999999,902.3090807683506,0.0,-55162.22619330799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999,1.267074999999999
3732,"Williamsport, PA Metro Area-Bus",2010,0,33,1.3288170000000004,1992.9573209932737,0.0,17306.396932855954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004,1.3288170000000004
3733,"Williamsport, PA Metro Area-Bus",2011,0,33,1.372842,-7177.888688832969,0.0,14123.386248439672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842,1.372842
