,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1029,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2002,0,10,69639471.99999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991,69639471.99999991
1030,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2003,0,10,67067606.99999997,-911119.258815902,0.0,-1089435.7804114532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997,67067606.99999997
1031,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2004,0,10,73230941.9999999,1681272.9185283992,0.0,534103.4831623135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999,73230941.9999999
1032,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2005,0,10,74703783.00000007,-452485.4824012808,0.0,166920.60844215364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007,74703783.00000007
1033,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2006,0,10,74258408.99999993,-2568238.906913692,0.0,-2254522.9407527475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993,74258408.99999993
1034,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2007,0,10,75694109.99999991,-419196.38650371286,0.0,230877.13895026373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991,75694109.99999991
1035,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2008,0,10,81689067.00000001,542913.5698927204,0.0,198084.9835321497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001,81689067.00000001
1036,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2009,0,10,77369030.99999996,-1045615.280359829,0.0,-3971527.697376422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996,77369030.99999996
1037,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2010,0,10,76354996.00000006,2909368.2096127006,0.0,-605463.0474786267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006,76354996.00000006
1038,"Denver-Aurora-Broomfield, CO Metro Area-Bus",2011,0,10,76084227.99999999,-1526378.8377550575,0.0,-797544.9957653302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999,76084227.99999999
