,5 digit NTD ID,4 digit NTD ID,UZA,UZA Name,MODE,SERVICE_ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,1.0,1,14.0,"Seattle, WA",DR,PT,688012.0,527979.0,718833.0,675488.0,659606.0,758136.0,831048.0,850905.0,308539.0,874036.0,1005687.0,750659.0,957280.0,983881.0,957269.0,863494.0,803300.5
1,1.0,1,14.0,"Seattle, WA",LR,DO,216413.0,218928.0,226322.0,211571.0,,,275185.0,342835.0,288470.0,,,,,,,,
2,1.0,1,14.0,"Seattle, WA",MB,DO,55995026.0,52181801.0,56913382.0,58136140.0,59418649.0,64550864.0,85113515.0,93937578.0,99604752.0,103418068.0,117457509.0,122535567.0,130249639.0,136162762.0,139001364.0,139520130.0,141198814.0
3,1.0,1,14.0,"Seattle, WA",TB,DO,19012827.0,17695832.0,16683220.0,17007997.0,17360619.0,15141561.0,16212098.0,17892872.0,20112498.0,21573330.0,23547904.0,23166653.0,24787685.0,22028748.0,22872383.0,22808461.0,23198317.5
4,1.0,1,14.0,"Seattle, WA",VP,DO,5089843.0,4860704.0,4884622.0,5552340.0,6238455.0,6872296.0,8049283.0,9636603.0,8728042.0,9459661.0,10320050.0,11487561.0,11804793.0,7121362.0,7293271.0,7622086.0,7872448.0
5,1.0,1,14.0,"Seattle, WA",MB,PT,,,,7872045.0,0.0,9607824.0,11342831.0,11238115.0,11109150.0,216978.0,266612.0,277338.0,1069328.0,1180841.0,1229557.0,1109846.0,1074348.5
6,1.0,1,14.0,"Seattle, WA",LR,PT,,,,,,,,2371968.0,9608740.0,12038576.0,13989008.0,14845952.0,15867923.0,18203801.0,30786785.0,38019002.0,47926602.5
7,1.0,1,14.0,"Seattle, WA",DT,PT,,,,,,,,,323133.0,302306.0,328203.0,509850.0,309318.0,430252.0,440458.0,412730.0,403969.0
8,1.0,1,14.0,"Seattle, WA",CB,PT,,,,,,,,,,12511530.0,13895391.0,14583312.0,14708647.0,15973711.0,16362096.0,17054149.0,17594368.0
9,1.0,1,14.0,"Seattle, WA",RB,DO,,,,,,,,,,3421279.0,,,,,,,
10,1.0,1,14.0,"Seattle, WA",SR,DO,,,,,,,,,,402342.0,505039.0,761610.0,423340.0,465698.0,1250080.0,1368135.0,1819353.5
11,1.0,1,14.0,"Seattle, WA",FB,DO,,,,,,,,,,,,,0.0,0.0,2477371.0,2620614.0,3930921.0
